house_code,long,lat,Kandida,Kater,Kawegi,Near Kibuon Maranatha Church,Near Munyu Maranatha Church,Near Umbolwanda,Shirikisho Church,Unassessed,number_of_people
C13, 34.3980052694678,-1.08879498306476,1054.30018307,410.356292745,1311.44760783,879.845488244,1156.63434025,461.080671158,944.439651055,810.437827578,2
C14*, 34.3985547870398,-1.08952944033705,1070.48832147,505.481524316,1371.52969442,978.485655554,1187.75323579,382.259668415,982.994496305,911.191280428,19
C15, 34.3977963924408,-1.090406363984,954.364245928,507.109360052,1488.92989028,983.378755917,1315.5915606,284.043613528,883.977543803,928.978927199,7
C16, 34.3972187116742,-1.09034636042456,897.707054473,461.947046185,1503.21267685,935.493629582,1347.01987768,305.397694183,821.100936986,886.037194605,11
C17, 34.3968167155981,-1.09022534765578,862.727002305,425.915168415,1506.50448745,896.533499173,1363.31608554,334.947206404,778.861723706,850.288286544,10
C18*, 34.3957833945751,-1.08989951823755,779.324570726,343.644618348,1520.04416072,798.826471645,1410.23065621,426.531057627,673.368975487,762.353884583,12
C19, 34.3955862522125,-1.09049620171322,727.125338455,401.721425259,1589.27823617,843.16126585,1474.13771264,391.598324241,639.067744357,813.544934423,15
C20, 34.3952593579888,-1.09048715089735,695.825082016,394.376086726,1604.5731536,824.437103033,1497.76139494,419.182047329,603.298104515,799.154611476,4
C21, 34.3970587849617,-1.09076839660779,863.304955347,491.495237615,1553.39101978,960.543701424,1395.43952433,268.872091477,798.398238923,915.769033042,3
C22, 34.3962008133531,-1.09128529866738,753.784445065,504.51516241,1641.44873037,953.543331065,1498.42973308,281.956640853,700.519586283,921.414588229,8
C23, 34.3961813673377,-1.09162721826888,739.644144668,540.177025999,1677.47279507,985.128172595,1530.09850738,260.544350353,699.071655276,955.218938759,7
C24, 34.3961535394192,-1.09180488236018,731.074020696,558.297643804,1696.9576877,1000.75062334,1547.83226792,252.688276511,697.172531338,972.137226823,9
C25, 34.395471252501,-1.09144486115291,671.5669927,503.120543475,1690.12345138,929.82911968,1562.7023771,338.412380588,619.499469984,907.271842148,10
C26, 34.396097548306,-1.09212568334375,716.131959971,591.167102619,1732.40484752,1029.04211215,1580.36246425,242.659628411,694.555195964,1002.73483947,4
C27*, 34.396187402308,-1.09266504458585,714.784840615,651.781850948,1784.78640168,1086.83001713,1623.83524151,217.307073507,714.403031141,1062.1937652,7
C28, 34.3960180878639,-1.09301467397821,691.477545303,685.635993612,1827.80171852,1113.41901699,1666.58777206,234.117891704,705.261064937,1092.10767155,4
C29, 34.3961035832763,-1.09345112403501,698.172482801,735.088228693,1870.03036872,1161.42257531,1701.90888431,231.550941297,728.60278675,1141.04962835,7
C30, 34.396361745894,-1.09382824096847,727.173015227,782.119247128,1900.15124436,1211.54172044,1722.28460049,219.272540169,769.894349609,1190.15186072,6
C31, 34.3967982754111,-1.09499981727271,790.878178243,920.107196859,2009.99293121,1350.14808346,1811.86667024,272.289372459,868.291352897,1329.16345649,15
C32, 34.3978228792548,-1.09625217987727,937.053902768,1085.50237291,2117.28387784,1524.87717929,1889.35552565,369.810793029,1036.53840663,1500.0255609,8
C33, 34.4023236259818,-1.08728584209262,1556.41347476,837.541104749,1074.45311547,1233.38291465,780.220945101,783.199983343,1452.84407587,1135.68673432,11
C34*, 34.4027051702142,-1.08756038378722,1581.20918838,881.667279926,1107.88347564,1283.10587102,798.47505799,785.729033616,1484.30136715,1186.12261366,10
C35, 34.4024017453194,-1.08853217402928,1507.14479779,863.135534454,1213.30350205,1289.73623717,911.457461327,683.035100073,1424.47597485,1198.47220159,3
C36, 34.4023806229234,-1.08901857185624,1485.59443731,873.351867833,1267.19904923,1309.87125863,964.56391847,643.597045964,1411.3054375,1221.33339333,4
C37*, 34.4017888605595,-1.08887476437457,1429.74670941,805.670885924,1249.70297294,1243.66518427,966.583310088,608.653590889,1349.83223895,1156.05596473,16
C38*, 34.4029093533754,-1.08919891782589,1534.45498724,935.337496338,1291.39002745,1371.58782472,972.458136311,675.454500391,1465.74822727,1282.58141283,8
C39, 34.4026920944452,-1.08987571793915,1488.96161115,935.320709165,1364.41485496,1383.89760563,1050.77044262,611.692349015,1431.42998416,1299.11889067,8
C40, 34.4022512063384,-1.09083946226586,1414.95472427,933.752452527,1468.92907005,1396.65590389,1165.3435532,515.001731316,1374.26559785,1318.68297507,16
C41, 34.4015722721815,-1.09202813571287,1317.50201825,940.036885152,1600.58054665,1414.0652313,1310.96058588,396.689415476,1299.93065759,1345.58693658,16
C42, 34.4007592275739,-1.09228993879753,1224.17760409,888.398317176,1633.74166764,1364.9927956,1363.1951536,301.903320999,1211.90414795,1302.15373822,6
C43, 34.4001460075378,-1.0921380863069,1158.74441488,826.937962848,1623.31730545,1303.89349063,1369.02447523,241.975165328,1142.5672915,1243.74259581,5
C44, 34.4002214446664,-1.09148139962005,1179.38367855,784.405359717,1549.81705628,1260.33019631,1297.69577255,284.162662739,1147.59787833,1195.83184262,5
C45, 34.4012011215091,-1.08933132796403,1350.53630462,758.855451113,1302.30718664,1209.55464275,1035.62532589,527.393475717,1276.06818885,1126.75913134,6
C46, 34.4005141407251,-1.08977314200309,1261.92745423,707.91147078,1357.42645402,1170.1561811,1109.2654061,441.232403015,1192.79265661,1093.16234775,11
C47*, 34.4001936167479,-1.08999471942923,1220.13212603,687.800661068,1386.13331873,1154.75757232,1146.03638334,400.327984594,1154.10424317,1080.84585502,5
C48*, 34.3997047841549,-1.08958408046472,1185.32666165,618.21158207,1349.29933254,1084.01075389,1128.48517213,412.531881421,1107.36266622,1009.86433881,7
C49, 34.398899115622,-1.09131379196898,1040.10839978,664.253859281,1555.27902178,1141.03995579,1340.48542966,200.367830268,1000.4816248,1084.12301192,7
C50*, 34.3994197994471,-1.09199629026568,1081.3317727,759.23988399,1619.01187209,1235.84995255,1384.40263861,178.346121366,1060.8909431,1179.52469407,6
C51, 34.3992182984948,-1.09236133963484,1053.20124459,775.198834854,1662.81621256,1250.50136118,1430.56708684,137.757892393,1042.19025457,1197.71446228,6
C52, 34.3988793343306,-1.09227988234144,1017.10787417,744.666239406,1660.91306516,1218.88090439,1437.91087271,111.6424358,1003.7544113,1168.06944106,8
C53, 34.3975150957704,-1.09122361904885,894.56154049,561.221820629,1585.00460278,1031.70172544,1408.70363353,202.443161199,846.705836292,985.616773159,7
C54, 34.3980461731553,-1.09137446593974,946.639623809,608.513858087,1584.33691949,1082.16783714,1392.02173612,174.277996317,905.661191167,1032.3670703,4
C55, 34.3976300954819,-1.09076403880795,922.925273526,526.440551153,1532.43090628,1000.53264549,1358.93862075,248.065684369,861.763705847,950.232072514,3
C56, 34.3968210741878,-1.09232178424161,790.482878497,636.151457639,1725.11343781,1087.84580453,1553.14229908,160.193590032,777.18506752,1055.0366305,10
C57, 34.3965149670839,-1.09294897181361,747.160678459,691.653154985,1802.12780419,1131.65736787,1630.22680099,178.732726709,756.915594273,1105.01516588,8
C58, 34.3968532606959,-1.09302540086207,783.87735894,711.012509282,1798.24780604,1157.17576958,1617.61779721,141.439934118,795.468432846,1127.61152573,7
D1, 34.3905537575483,-1.09223027049087,171.711515676,751.356254586,2050.23625454,928.885715996,2010.77281345,845.157480111,122.967817996,972.955822164,10
D2, 34.3902499973774,-1.09231742644402,149.378474249,780.362501106,2078.64972937,943.816474974,2042.89369221,877.968896085,115.623314972,991.229584241,12
